Genome_Name,TaxonID
Mycobacterium abscessus subsp. abscessus strain 66,1185650
Mycobacterium abscessus subsp. abscessus strain 68,1185650
Mycobacterium abscessus subsp. abscessus strain 62,1185650
Mycobacterium abscessus subsp. abscessus strain 57,1185650
Mycobacterium abscessus subsp. abscessus strain 56,1185650
Mycobacterium abscessus subsp. abscessus strain 54,1185650
Mycobacterium abscessus subsp. abscessus strain 50,1185650
Mycobacterium abscessus subsp. abscessus strain 49,1185650
Mycobacterium abscessus subsp. abscessus strain 46,1185650
Mycobacterium abscessus subsp. abscessus strain 45,1185650
Mycobacterium abscessus subsp. abscessus strain 41,1185650
Mycobacterium abscessus subsp. abscessus strain 44,1185650
Mycobacterium abscessus subsp. abscessus strain 38,1185650
Mycobacterium abscessus subsp. abscessus strain 21,1185650
Mycobacterium abscessus subsp. abscessus strain 34,1185650
Mycobacterium abscessus subsp. abscessus strain 24,1185650
Mycobacterium abscessus subsp. abscessus strain 23,1185650
Mycobacterium abscessus subsp. abscessus strain 19,1185650
Mycobacterium abscessus subsp. abscessus strain 349,1185650
Mycobacterium abscessus subsp. abscessus strain 425,1185650
Mycobacterium abscessus subsp. abscessus strain 424,1185650
Mycobacterium abscessus subsp. abscessus strain 431,1185650
Mycobacterium abscessus subsp. abscessus strain 430,1185650
Mycobacterium abscessus subsp. abscessus strain 429,1185650
Mycobacterium abscessus subsp. abscessus strain 467,1185650
Mycobacterium abscessus subsp. abscessus strain 464,1185650
Mycobacterium abscessus subsp. abscessus strain 460,1185650
Mycobacterium abscessus subsp. abscessus strain 454,1185650
Mycobacterium abscessus subsp. abscessus strain 456,1185650
Mycobacterium abscessus subsp. abscessus strain 437,1185650
Mycobacterium abscessus subsp. abscessus strain 436,1185650
Mycobacterium abscessus subsp. abscessus strain 435,1185650
Mycobacterium abscessus subsp. abscessus strain 1095,1185650
Mycobacterium abscessus subsp. abscessus strain 1090,1185650
Mycobacterium abscessus subsp. abscessus strain 977,1185650
Mycobacterium abscessus subsp. abscessus strain 978,1185650
Mycobacterium abscessus subsp. abscessus strain 973,1185650
Mycobacterium abscessus subsp. abscessus strain 965,1185650
Mycobacterium abscessus subsp. abscessus strain 963,1185650
Mycobacterium abscessus subsp. abscessus strain 952,1185650
Mycobacterium abscessus subsp. abscessus strain 1112,1185650
Mycobacterium abscessus subsp. abscessus strain 1109,1185650
Mycobacterium abscessus subsp. abscessus strain 972,1185650
Mycobacterium abscessus subsp. abscessus strain 876,1185650
Mycobacterium abscessus subsp. abscessus strain 819,1185650
Mycobacterium abscessus subsp. abscessus strain 814,1185650
Mycobacterium abscessus subsp. abscessus strain 830,1185650
Mycobacterium abscessus subsp. abscessus strain 781,1185650
Mycobacterium abscessus subsp. abscessus strain 780,1185650
Mycobacterium abscessus subsp. abscessus strain 73,1185650
Mycobacterium abscessus subsp. abscessus strain 35,1185650
Mycobacterium abscessus subsp. abscessus strain 401,1185650
Mycobacterium abscessus subsp. abscessus strain 418,1185650
Mycobacterium abscessus subsp. abscessus strain 417,1185650
Mycobacterium abscessus subsp. abscessus strain 413,1185650
Mycobacterium abscessus subsp. abscessus strain 402,1185650
Mycobacterium abscessus subsp. abscessus strain 394,1185650
Mycobacterium abscessus subsp. abscessus strain 930,1185650
Mycobacterium abscessus subsp. abscessus strain 929,1185650
Mycobacterium abscessus subsp. abscessus strain 951,1185650
Mycobacterium abscessus subsp. abscessus strain 944,1185650
Mycobacterium abscessus subsp. abscessus strain 942,1185650
Mycobacterium abscessus subsp. abscessus strain 931,1185650
Mycobacterium abscessus subsp. abscessus strain 936,1185650
Mycobacterium abscessus subsp. abscessus strain 949,1185650
Mycobacterium abscessus subsp. abscessus strain 824,1185650
Mycobacterium abscessus subsp. abscessus strain 778,1185650
Mycobacterium abscessus subsp. abscessus strain 803,1185650
Mycobacterium abscessus subsp. abscessus strain 386,1185650
Mycobacterium abscessus subsp. abscessus strain 391,1185650
Mycobacterium abscessus subsp. abscessus strain 387,1185650
Mycobacterium abscessus subsp. abscessus strain 388,1185650
Mycobacterium abscessus subsp. abscessus strain 385,1185650
Mycobacterium abscessus subsp. abscessus strain 380,1185650
Mycobacterium abscessus subsp. abscessus strain 379,1185650
Mycobacterium abscessus subsp. abscessus strain 375,1185650
Mycobacterium abscessus subsp. abscessus strain 374,1185650
Mycobacterium abscessus subsp. abscessus strain 373,1185650
Mycobacterium abscessus subsp. abscessus strain 371,1185650
Mycobacterium abscessus subsp. abscessus strain 367,1185650
Mycobacterium abscessus subsp. abscessus strain 365,1185650
Mycobacterium abscessus subsp. abscessus strain 1088,1185650
Mycobacterium abscessus subsp. abscessus strain 921,1185650
Mycobacterium abscessus subsp. abscessus strain 918,1185650
Mycobacterium abscessus subsp. abscessus strain 818,1185650
Mycobacterium abscessus subsp. abscessus strain 828,1185650
Mycobacterium abscessus subsp. abscessus strain 823,1185650
Mycobacterium abscessus subsp. abscessus strain 339,1185650
Mycobacterium abscessus subsp. abscessus strain 340,1185650
Mycobacterium abscessus subsp. abscessus strain 348,1185650
Mycobacterium abscessus subsp. abscessus strain 343,1185650
Mycobacterium abscessus subsp. abscessus strain 1087,1185650
Mycobacterium abscessus subsp. abscessus strain 888,1185650
Mycobacterium abscessus subsp. abscessus strain 351,1185650
Mycobacterium abscessus subsp. abscessus strain 879,1185650
Mycobacterium abscessus subsp. abscessus strain 881,1185650
Mycobacterium abscessus subsp. abscessus strain 817,1185650
Mycobacterium abscessus subsp. abscessus strain 764,1185650
Mycobacterium abscessus subsp. abscessus strain 336,1185650
Mycobacterium abscessus subsp. abscessus strain 816,1185650
Mycobacterium abscessus subsp. abscessus strain 333,1185650
Mycobacterium abscessus subsp. abscessus strain 318,1185650
Mycobacterium abscessus subsp. abscessus strain 1108,1185650
Mycobacterium abscessus subsp. abscessus strain 315,1185650
Mycobacterium abscessus subsp. abscessus strain 314,1185650
Mycobacterium abscessus subsp. abscessus strain 310,1185650
Mycobacterium abscessus subsp. abscessus strain 299,1185650
Mycobacterium abscessus subsp. abscessus strain 302,1185650
Mycobacterium abscessus subsp. abscessus strain 298,1185650
Mycobacterium abscessus subsp. abscessus strain 293,1185650
Mycobacterium abscessus subsp. abscessus strain 291,1185650
Mycobacterium abscessus subsp. abscessus strain 891,1185650
Mycobacterium abscessus subsp. abscessus strain 776,1185650
Mycobacterium abscessus subsp. abscessus strain 263,1185650
Mycobacterium abscessus subsp. abscessus strain 285,1185650
Mycobacterium abscessus subsp. abscessus strain 283,1185650
Mycobacterium abscessus subsp. abscessus strain 281,1185650
Mycobacterium abscessus subsp. abscessus strain 280,1185650
Mycobacterium abscessus subsp. abscessus strain 277,1185650
Mycobacterium abscessus subsp. abscessus strain 273,1185650
Mycobacterium abscessus subsp. abscessus strain 272,1185650
Mycobacterium abscessus subsp. abscessus strain 270,1185650
Mycobacterium abscessus subsp. abscessus strain 841,1185650
Mycobacterium abscessus subsp. abscessus strain 742,1185650
Mycobacterium abscessus subsp. abscessus strain 258,1185650
Mycobacterium abscessus subsp. abscessus strain 255,1185650
Mycobacterium abscessus subsp. abscessus strain 254,1185650
Mycobacterium abscessus subsp. abscessus strain 253,1185650
Mycobacterium abscessus subsp. abscessus strain 251,1185650
Mycobacterium abscessus subsp. abscessus strain 250,1185650
Mycobacterium abscessus subsp. abscessus strain 245,1185650
Mycobacterium abscessus subsp. abscessus strain 239,1185650
Mycobacterium abscessus subsp. abscessus strain 233,1185650
Mycobacterium abscessus subsp. abscessus strain 235,1185650
Mycobacterium abscessus subsp. abscessus strain 232,1185650
Mycobacterium abscessus subsp. abscessus strain 230,1185650
Mycobacterium abscessus subsp. abscessus strain 229,1185650
Mycobacterium abscessus subsp. abscessus strain 222,1185650
Mycobacterium abscessus subsp. abscessus strain 223,1185650
Mycobacterium abscessus subsp. abscessus strain 221,1185650
Mycobacterium abscessus subsp. abscessus strain 802,1185650
Mycobacterium abscessus subsp. abscessus strain 793,1185650
Mycobacterium abscessus subsp. abscessus strain 743,1185650
Mycobacterium abscessus subsp. abscessus strain 741,1185650
Mycobacterium abscessus subsp. abscessus strain 216,1185650
Mycobacterium abscessus subsp. abscessus strain 215,1185650
Mycobacterium abscessus subsp. abscessus strain 214,1185650
Mycobacterium abscessus subsp. abscessus strain 212,1185650
Mycobacterium abscessus subsp. abscessus strain 210,1185650
Mycobacterium abscessus subsp. abscessus strain 205,1185650
Mycobacterium abscessus subsp. abscessus strain 801,1185650
Mycobacterium abscessus subsp. abscessus strain 774,1185650
Mycobacterium abscessus subsp. abscessus strain 771,1185650
Mycobacterium abscessus subsp. abscessus strain 188,1185650
Mycobacterium abscessus subsp. abscessus strain 189,1185650
Mycobacterium abscessus subsp. abscessus strain 181,1185650
Mycobacterium abscessus subsp. abscessus strain 180,1185650
Mycobacterium abscessus subsp. abscessus strain 175,1185650
Mycobacterium abscessus subsp. abscessus strain 166,1185650
Mycobacterium abscessus subsp. abscessus strain 173,1185650
Mycobacterium abscessus subsp. abscessus strain 163,1185650
Mycobacterium abscessus subsp. abscessus strain 162,1185650
